structure,HADDOCK-score,correlation,atomic-clashes
3J95_10w.pdb,-1628.6898,0.9271,1
3J95_11w.pdb,-1680.6859,0.9264,0
3J95_12w.pdb,-1790.1868,0.9264,0
3J95_13w.pdb,-1635.8648,0.925,0
3J95_14w.pdb,-1785.689,0.927,2
3J95_15w.pdb,-1745.3076,0.9272,1
3J95_16w.pdb,-1619.3988,0.9254,0
3J95_17w.pdb,-1800.3631,0.9294,0
3J95_18w.pdb,-1713.6136,0.9266,0
3J95_19w.pdb,-1702.7588,0.9262,3
3J95_1w.pdb,-1782.0797,0.9274,0
3J95_20w.pdb,-1783.6147,0.9307,1
3J95_21w.pdb,-1701.0002,0.9314,2
3J95_22w.pdb,-1563.2024,0.9264,0
3J95_23w.pdb,-1685.4013,0.9259,0
3J95_24w.pdb,-1651.7026,0.9267,0
3J95_25w.pdb,-1836.9487,0.9284,0
3J95_26w.pdb,-1809.9673,0.9293,0
3J95_27w.pdb,-1743.7481,0.928,0
3J95_28w.pdb,-1814.5373,0.9289,0
3J95_29w.pdb,-1750.6045,0.9249,0
3J95_2w.pdb,-1697.7609,0.9274,2
3J95_30w.pdb,-1824.5688,0.929,2
3J95_31w.pdb,-1760.9525,0.9281,0
3J95_32w.pdb,-1784.6258,0.9307,3
3J95_33w.pdb,-1549.556,0.9375,0
3J95_34w.pdb,-1862.5372,0.9261,0
3J95_35w.pdb,-1758.209,0.9296,0
3J95_36w.pdb,-1811.8524,0.9287,0
3J95_37w.pdb,-1884.2075,0.9295,0
3J95_38w.pdb,-1722.0937,0.9306,0
3J95_39w.pdb,-1647.9494,0.9274,0
3J95_3w.pdb,-1752.061,0.9264,1
3J95_40w.pdb,-1769.1911,0.9253,2
3J95_41w.pdb,-1720.6323,0.9311,0
3J95_42w.pdb,-1712.2584,0.9307,0
3J95_43w.pdb,-1837.5414,0.9255,0
3J95_44w.pdb,-1845.0514,0.9266,0
3J95_45w.pdb,-1704.5238,0.926,0
3J95_46w.pdb,-1750.0936,0.9279,1
3J95_47w.pdb,-1735.7941,0.9284,0
3J95_48w.pdb,-1802.3483,0.9284,0
3J95_49w.pdb,-1828.8728,0.9276,1
3J95_4w.pdb,-1811.7176,0.9275,0
3J95_50w.pdb,-1866.0759,0.9276,0
3J95_5w.pdb,-1620.4685,0.928,0
3J95_6w.pdb,-1699.8632,0.9266,1
3J95_7w.pdb,-1692.5094,0.9267,0
3J95_8w.pdb,-1764.3588,0.9283,1
3J95_9w.pdb,-1758.0737,0.9267,0
