structure,HADDOCK-score,atomic-clashes
3J96_1.pdb,-7741.8288,4
3J96_10.pdb,-8052.9489,7
3J96_11.pdb,-7574.5081,6
3J96_12.pdb,-8004.7747,11
3J96_13.pdb,-7691.8828,9
3J96_14.pdb,-7543.7936,6
3J96_15.pdb,-7873.8815,8
3J96_16.pdb,-7441.5819,7
3J96_17.pdb,-8165.3451,9
3J96_18.pdb,-7643.1788,8
3J96_19.pdb,-7863.1741,7
3J96_2.pdb,-7774.4998,5
3J96_20.pdb,-8174.6917,6
3J96_21.pdb,-7855.7498,6
3J96_22.pdb,-7665.6088,4
3J96_23.pdb,-7867.6288,6
3J96_24.pdb,-7790.4579,5
3J96_25.pdb,-7570.7425,5
3J96_26.pdb,-7602.1602,9
3J96_27.pdb,-7688.394,6
3J96_28.pdb,-7515.3843,7
3J96_29.pdb,-7644.3329,6
3J96_3.pdb,-7646.1306,7
3J96_30.pdb,-7993.6136,5
3J96_31.pdb,-7703.87583,5
3J96_32.pdb,-7795.5248,2
3J96_33.pdb,-7406.0781,2
3J96_34.pdb,-7619.6151,2
3J96_35.pdb,-7573.6555,8
3J96_36.pdb,-7469.3032,8
3J96_37.pdb,-7700.1121,5
3J96_38.pdb,-8026.2695,4
3J96_39.pdb,-7690.5023,5
3J96_4.pdb,-8099.6508,4
3J96_40.pdb,-7957.3276,6
3J96_41.pdb,-7328.3415,3
3J96_42.pdb,-8021.7033,5
3J96_43.pdb,-7966.0153,5
3J96_44.pdb,-7751.59918,5
3J96_45.pdb,-7320.2215,7
3J96_46.pdb,-7680.934,4
3J96_47.pdb,-7430.4214,6
3J96_48.pdb,-7679.24583,2
3J96_49.pdb,-8038.1527,4
3J96_5.pdb,-7570.9079,3
3J96_50.pdb,-7721.2152,5
3J96_6.pdb,-7808.5135,7
3J96_7.pdb,-7979.9578,5
3J96_8.pdb,-7800.0798,9
3J96_9.pdb,-7606.0645,7
