structure,HADDOCK-score,correlation,atomic-clashes
3J95_10w.pdb,-1790.7029,0.9275,0
3J95_11w.pdb,-1617.8457,0.9266,0
3J95_12w.pdb,-1756.2892,0.9274,0
3J95_13w.pdb,-1799.3252,0.9281,0
3J95_14w.pdb,-1725.102,0.9264,0
3J95_15w.pdb,-1755.858,0.9259,1
3J95_16w.pdb,-1637.6722,0.9254,0
3J95_17w.pdb,-1788.7557,0.9292,1
3J95_18w.pdb,-1676.1567,0.9269,0
3J95_19w.pdb,-1856.226,0.9273,0
3J95_1w.pdb,-1749.3224,0.9289,0
3J95_20w.pdb,-1727.2901,0.9266,0
3J95_21w.pdb,-99.2209,0.9283,0
3J95_22w.pdb,-1588.65,0.9257,0
3J95_23w.pdb,-1631.7006,0.9267,1
3J95_24w.pdb,-1601.8404,0.9251,0
3J95_25w.pdb,-1808.5089,0.9295,1
3J95_26w.pdb,-1726.0904,0.9262,0
3J95_27w.pdb,-1838.992,0.9274,1
3J95_28w.pdb,-1773.2673,0.9271,2
3J95_29w.pdb,-1712.3682,0.927,0
3J95_2w.pdb,-1700.7821,0.9287,1
3J95_30w.pdb,-1717.1773,0.9276,1
3J95_31w.pdb,-1609.8499,0.9282,0
3J95_32w.pdb,-1769.7565,0.9273,0
3J95_33w.pdb,-1775.3289,0.9259,0
3J95_34w.pdb,-1656.8861,0.925,0
3J95_35w.pdb,-1797.267,0.9271,1
3J95_36w.pdb,-1621.0793,0.928,0
3J95_37w.pdb,-1812.775,0.9282,1
3J95_38w.pdb,-1808.3824,0.929,1
3J95_39w.pdb,-1610.2018,0.9275,0
3J95_3w.pdb,-1697.2683,0.9252,2
3J95_40w.pdb,-1809.4212,0.9268,0
3J95_41w.pdb,-1621.5333,0.9294,0
3J95_42w.pdb,-1656.3896,0.9282,1
3J95_43w.pdb,-1730.947,0.9281,1
3J95_44w.pdb,-1809.2346,0.929,0
3J95_45w.pdb,-1839.3471,0.9284,0
3J95_46w.pdb,-1778.5805,0.9244,0
3J95_47w.pdb,-1706.5182,0.9297,2
3J95_48w.pdb,-1779.0404,0.9277,0
3J95_49w.pdb,-1799.6119,0.9316,0
3J95_4w.pdb,-1857.6375,0.9286,1
3J95_50w.pdb,-1777.6168,0.9312,1
3J95_5w.pdb,-1640.8783,0.9261,1
3J95_6w.pdb,-1809.2117,0.9288,0
3J95_7w.pdb,-1802.9673,0.9281,0
3J95_8w.pdb,-1809.8729,0.9271,0
3J95_9w.pdb,-1707.6879,0.9268,0
