structure,HADDOCK-score,atomic-clashes
6ENY_1.pdb,207.48223,13
6ENY_10.pdb,19.464,13
6ENY_11.pdb,-943.1092,0
6ENY_12.pdb,247.0126,13
6ENY_13.pdb,258.62155,14
6ENY_14.pdb,172.9907,14
6ENY_15.pdb,218.4813,14
6ENY_16.pdb,190.15817,14
6ENY_17.pdb,-1304.93106,4
6ENY_18.pdb,63.6971,14
6ENY_19.pdb,129.05575,12
6ENY_2.pdb,243.7527,14
6ENY_20.pdb,265.99499,12
6ENY_21.pdb,150.52158,16
6ENY_22.pdb,153.27881,16
6ENY_23.pdb,-1437.28497,2
6ENY_24.pdb,215.17153,16
6ENY_25.pdb,192.3534,15
6ENY_26.pdb,162.75451,13
6ENY_27.pdb,165.01942,14
6ENY_28.pdb,140.3685,12
6ENY_29.pdb,178.8116,15
6ENY_3.pdb,311.49771,15
6ENY_30.pdb,63.31119,13
6ENY_31.pdb,157.20737,16
6ENY_32.pdb,241.069,14
6ENY_33.pdb,213.28878,13
6ENY_34.pdb,259.1636,13
6ENY_35.pdb,180.16852,16
6ENY_36.pdb,-1337.69573,5
6ENY_37.pdb,304.2454,13
6ENY_38.pdb,-35.87739,14
6ENY_39.pdb,113.99039,16
6ENY_4.pdb,129.5726,18
6ENY_40.pdb,250.3969,15
6ENY_41.pdb,1264.3443,14
6ENY_42.pdb,199.9798,14
6ENY_43.pdb,77.53972,14
6ENY_44.pdb,235.35343,14
6ENY_45.pdb,216.41601,12
6ENY_46.pdb,-1294.6737,5
6ENY_47.pdb,326.6262,14
6ENY_48.pdb,193.73128,14
6ENY_49.pdb,242.3249,14
6ENY_5.pdb,236.0184,14
6ENY_50.pdb,159.28364,16
6ENY_6.pdb,161.24629,13
6ENY_7.pdb,407.9465,15
6ENY_8.pdb,242.30499,14
6ENY_9.pdb,1.64424,14
