structure,HADDOCK-score,correlation
5GRS_1.pdb,-4047.07178,0.8946
5GRS_10.pdb,-4110.1378,0.8943
5GRS_11.pdb,-4003.96533,0.8943
5GRS_12.pdb,-3975.9346,0.8945
5GRS_13.pdb,-4054.16349,0.8975
5GRS_14.pdb,-4079.52809,0.8962
5GRS_15.pdb,-4234.37574,0.8966
5GRS_16.pdb,-3988.84285,0.8972
5GRS_17.pdb,-4142.95352,0.8964
5GRS_18.pdb,-3883.16202,0.8952
5GRS_19.pdb,-4009.3003,0.8957
5GRS_2.pdb,-3842.85499,0.8937
5GRS_20.pdb,-4117.05815,0.8929
5GRS_21.pdb,-4123.01348,0.8941
5GRS_22.pdb,-3869.6755,0.895
5GRS_23.pdb,-4066.8596,0.8943
5GRS_24.pdb,-4354.47749,0.8963
5GRS_25.pdb,-3943.26347,0.8944
5GRS_26.pdb,-3889.43016,0.8949
5GRS_27.pdb,-4151.76601,0.8969
5GRS_28.pdb,-3982.662,0.8956
5GRS_29.pdb,-3630.2407,0.8937
5GRS_3.pdb,-3898.64638,0.8959
5GRS_30.pdb,-4205.3281,0.8973
5GRS_31.pdb,-3879.33053,0.8931
5GRS_32.pdb,-4120.39127,0.8967
5GRS_33.pdb,-4026.82053,0.8958
5GRS_34.pdb,-3696.21149,0.8942
5GRS_35.pdb,-4116.9995,0.8948
5GRS_36.pdb,-4157.48391,0.8972
5GRS_37.pdb,-3902.71992,0.8966
5GRS_38.pdb,-4174.82311,0.8975
5GRS_39.pdb,-3908.7494,0.8949
5GRS_4.pdb,-4193.04258,0.8954
5GRS_40.pdb,-4149.16601,0.8965
5GRS_41.pdb,-4147.0036,0.8962
5GRS_42.pdb,-3918.7833,0.8962
5GRS_43.pdb,-4056.0376,0.8933
5GRS_44.pdb,-3783.621,0.8946
5GRS_45.pdb,-4126.9149,0.8973
5GRS_46.pdb,-4101.73232,0.8966
5GRS_47.pdb,-4104.15945,0.8978
5GRS_48.pdb,-4019.9547,0.8955
5GRS_49.pdb,-3951.07035,0.8961
5GRS_5.pdb,-3953.80459,0.8963
5GRS_50.pdb,-3855.73603,0.8952
5GRS_6.pdb,-3790.4127,0.895
5GRS_7.pdb,-3950.81647,0.8971
5GRS_8.pdb,-4219.57785,0.8945
5GRS_9.pdb,-3917.9612,0.8961
