structure,HADDOCK-score,correlation,atomic-clashes
3J96_10w.pdb,-3466.1958,,0
3J96_11w.pdb,-3433.5319,,0
3J96_12w.pdb,-3460.4039,,0
3J96_13w.pdb,-3460.4039,,0
3J96_14w.pdb,-3460.4039,,0
3J96_15w.pdb,-3460.4039,,0
3J96_16w.pdb,-3460.4039,,0
3J96_17w.pdb,-3470.1441,,0
3J96_18w.pdb,-3439.9601,,0
3J96_19w.pdb,-3449.0364,,0
3J96_1w.pdb,-3475.0908,,0
3J96_20w.pdb,-3460.4039,,0
3J96_21w.pdb,-3469.1844,,0
3J96_22w.pdb,-3460.4039,,0
3J96_23w.pdb,-3444.1199,,0
3J96_24w.pdb,-3460.9064,,0
3J96_25w.pdb,-3460.4039,,0
3J96_26w.pdb,-3487.984,,0
3J96_27w.pdb,-3460.4039,,0
3J96_28w.pdb,-3460.4039,,0
3J96_29w.pdb,-3465.8166,,0
3J96_2w.pdb,-3442.2968,,0
3J96_30w.pdb,-3460.4039,,0
3J96_31w.pdb,-3460.4039,,0
3J96_32w.pdb,-3442.7732,,0
3J96_33w.pdb,-3460.4039,,0
3J96_34w.pdb,-3460.4039,,0
3J96_35w.pdb,-3460.4039,,0
3J96_36w.pdb,-3423.3702,,0
3J96_37w.pdb,-3460.4039,,0
3J96_38w.pdb,-3460.4039,,0
3J96_39w.pdb,-3460.4039,,0
3J96_3w.pdb,-3439.0727,,0
3J96_40w.pdb,-3460.4039,,0
3J96_41w.pdb,-3436.2722,,0
3J96_42w.pdb,-3426.772,,0
3J96_43w.pdb,-3457.1726,,0
3J96_44w.pdb,-3460.4039,,0
3J96_45w.pdb,-3460.4039,,0
3J96_46w.pdb,-3515.8476,,0
3J96_47w.pdb,-3473.9865,,0
3J96_48w.pdb,-3460.4039,,0
3J96_49w.pdb,-3460.4039,,0
3J96_4w.pdb,-3460.4039,,0
3J96_50w.pdb,-3476.6877,,0
3J96_5w.pdb,-3460.4039,,0
3J96_6w.pdb,-3468.5895,,0
3J96_7w.pdb,-3458.0491,,0
3J96_8w.pdb,-3463.2029,,0
3J96_9w.pdb,-3436.6161,,0
