structure,HADDOCK-score,correlation
6N8Z_1.pdb,-6070.09958,0.9282
6N8Z_10.pdb,-6228.0829,0.9292
6N8Z_11.pdb,-5794.1424,0.9296
6N8Z_12.pdb,-5532.34001,0.9284
6N8Z_13.pdb,-5661.32727,0.9309
6N8Z_14.pdb,-5294.89259,0.9274
6N8Z_15.pdb,-5366.4742,0.9312
6N8Z_16.pdb,-5728.07927,0.9296
6N8Z_17.pdb,-5919.1298,0.9277
6N8Z_18.pdb,-5342.22257,0.9305
6N8Z_19.pdb,-6083.207,0.9305
6N8Z_2.pdb,-5484.52957,0.928
6N8Z_20.pdb,-5606.48914,0.9291
6N8Z_21.pdb,-5356.1297,0.9281
6N8Z_22.pdb,-5744.64201,0.93
6N8Z_23.pdb,-5656.7746,0.9284
6N8Z_24.pdb,-5633.3509,0.929
6N8Z_25.pdb,-5620.86825,0.9289
6N8Z_26.pdb,-5372.44286,0.9295
6N8Z_27.pdb,-5414.8005,0.9294
6N8Z_28.pdb,-5730.215,0.9282
6N8Z_29.pdb,-5556.89462,0.9302
6N8Z_3.pdb,-5863.9283,0.93
6N8Z_30.pdb,-5579.7831,0.9303
6N8Z_31.pdb,-5668.7838,0.9298
6N8Z_32.pdb,-5349.7508,0.9283
6N8Z_33.pdb,-5720.4686,0.9308
6N8Z_34.pdb,-5600.24321,0.9295
6N8Z_35.pdb,-5696.3338,0.9288
6N8Z_36.pdb,-5438.58674,0.9316
6N8Z_37.pdb,-5680.5198,0.9266
6N8Z_38.pdb,-5789.59738,0.9306
6N8Z_39.pdb,-5406.90047,0.9281
6N8Z_4.pdb,-6026.88035,0.9282
6N8Z_40.pdb,-4864.8152,0.9326
6N8Z_41.pdb,-5938.8516,0.9303
6N8Z_42.pdb,-5597.4002,0.9289
6N8Z_43.pdb,-5793.744,0.9293
6N8Z_44.pdb,-5710.7016,0.9286
6N8Z_45.pdb,-5438.526,0.9282
6N8Z_46.pdb,-5905.6693,0.9288
6N8Z_47.pdb,-5431.0398,0.9291
6N8Z_48.pdb,-6090.75673,0.9293
6N8Z_49.pdb,-5758.31717,0.9307
6N8Z_5.pdb,-5856.24039,0.9284
6N8Z_50.pdb,-5966.29388,0.9292
6N8Z_6.pdb,-5683.9195,0.93
6N8Z_7.pdb,-5487.7626,0.9302
6N8Z_8.pdb,-5488.48065,0.9296
6N8Z_9.pdb,-5998.0352,0.9274
