structure,HADDOCK-score,atomic-clashes
6C3P_1.pdb,-3445.0833,3
6C3P_10.pdb,-3792.6817,6
6C3P_11.pdb,-3733.7012,5
6C3P_12.pdb,-3746.0775,2
6C3P_13.pdb,-3744.2143,7
6C3P_14.pdb,-3597.2304,2
6C3P_15.pdb,-3755.5807,5
6C3P_16.pdb,-3941.3619,9
6C3P_17.pdb,-3544.2307,1
6C3P_18.pdb,-3685.5272,2
6C3P_19.pdb,-3989.3478,9
6C3P_2.pdb,-3576.5918,3
6C3P_20.pdb,-3878.979,7
6C3P_21.pdb,-3658.009,5
6C3P_22.pdb,-3803.805,3
6C3P_23.pdb,-3970.158,9
6C3P_24.pdb,-3814.017,8
6C3P_25.pdb,-3605.5137,3
6C3P_26.pdb,-3422.7797,1
6C3P_27.pdb,-3589.5486,5
6C3P_28.pdb,-3968.5439,4
6C3P_29.pdb,-3721.11,5
6C3P_3.pdb,-3881.8455,5
6C3P_30.pdb,-3987.6195,8
6C3P_31.pdb,-3815.9745,6
6C3P_32.pdb,-3942.8575,3
6C3P_33.pdb,-3823.113,5
6C3P_34.pdb,-3722.8064,6
6C3P_35.pdb,-3858.0569,4
6C3P_36.pdb,-3738.8555,6
6C3P_37.pdb,-3883.1657,9
6C3P_38.pdb,-3620.8139,4
6C3P_39.pdb,-3546.7695,3
6C3P_4.pdb,-3809.9086,6
6C3P_40.pdb,-3777.7767,7
6C3P_41.pdb,-3872.1292,9
6C3P_42.pdb,-3849.895,5
6C3P_43.pdb,-3668.5604,3
6C3P_44.pdb,-3755.8708,3
6C3P_45.pdb,-3893.4163,7
6C3P_46.pdb,-3792.8488,8
6C3P_47.pdb,-3664.4998,3
6C3P_48.pdb,-3678.8992,2
6C3P_49.pdb,-3763.4456,5
6C3P_5.pdb,-3909.4023,3
6C3P_50.pdb,-3602.1816,4
6C3P_6.pdb,-3751.0168,5
6C3P_7.pdb,-4070.9091,9
6C3P_8.pdb,-3878.6923,3
6C3P_9.pdb,-3749.491,3
