structure,HADDOCK-score,correlation,atomic-clashes
6N8Z_10w.pdb,-2060.697,0.9302,0
6N8Z_11w.pdb,-2253.0056,0.9301,0
6N8Z_12w.pdb,-2022.2399,0.9274,1
6N8Z_13w.pdb,-2145.3051,0.9297,0
6N8Z_14w.pdb,-2072.89313,0.9326,6
6N8Z_15w.pdb,-2149.6815,0.9306,1
6N8Z_16w.pdb,-2198.4398,0.9278,1
6N8Z_17w.pdb,-2080.5897,0.93,1
6N8Z_18w.pdb,-1998.5675,0.9267,1
6N8Z_19w.pdb,-2312.9305,0.9278,0
6N8Z_1w.pdb,-2257.7795,0.9296,0
6N8Z_20w.pdb,-2317.7692,0.9289,1
6N8Z_21w.pdb,-2246.2945,0.9303,1
6N8Z_22w.pdb,-2073.62101,0.9326,6
6N8Z_23w.pdb,-2086.4986,0.9292,1
6N8Z_24w.pdb,-2158.3691,0.9303,2
6N8Z_25w.pdb,-2120.9327,0.9289,0
6N8Z_26w.pdb,-2199.3014,0.9309,1
6N8Z_27w.pdb,-2252.749,0.9305,1
6N8Z_28w.pdb,-2149.6567,0.9282,1
6N8Z_29w.pdb,-2255.4183,0.9314,1
6N8Z_2w.pdb,-2094.7133,0.9299,3
6N8Z_30w.pdb,-2140.2454,0.93,2
6N8Z_3w.pdb,-2127.5084,0.9295,1
6N8Z_4w.pdb,-2319.2308,0.9295,0
6N8Z_5w.pdb,-2101.8742,0.9289,1
6N8Z_6w.pdb,-1990.3206,0.9308,1
6N8Z_7w.pdb,-2149.1528,0.9298,0
6N8Z_8w.pdb,-2216.0237,0.9302,1
6N8Z_9w.pdb,-2146.7503,0.9292,1
