structure,HADDOCK-score,atomic-clashes
6R7I_10.pdb,-2623.532,14
6R7I_11.pdb,-2823.614,15
6R7I_12.pdb,-2608.756,16
6R7I_13.pdb,-2258.015,16
6R7I_14.pdb,-2321.421,14
6R7I_15.pdb,-2613.506,15
6R7I_16.pdb,-2576.595,15
6R7I_17.pdb,-2646.977,14
6R7I_18.pdb,-2405.52,14
6R7I_19.pdb,-2273.487,15
6R7I_1.pdb,-2816.052,16
6R7I_20.pdb,-2551.249,15
6R7I_21.pdb,-2199.836,17
6R7I_22.pdb,-2611.572,14
6R7I_23.pdb,-2316.942,12
6R7I_24.pdb,-4219.434,4
6R7I_25.pdb,-2168.309,13
6R7I_26.pdb,-2953.4,14
6R7I_27.pdb,-2019.616,15
6R7I_28.pdb,-2355.265,16
6R7I_29.pdb,-2491.995,15
6R7I_2.pdb,-2742.491,15
6R7I_30.pdb,-2438.914,14
6R7I_31.pdb,-2581.749,15
6R7I_32.pdb,-2516.513,15
6R7I_33.pdb,-2532.521,15
6R7I_34.pdb,-2601.558,14
6R7I_35.pdb,-2340.482,14
6R7I_36.pdb,-2643.807,14
6R7I_37.pdb,-2616.948,15
6R7I_38.pdb,-2779.25,16
6R7I_39.pdb,-2406.408,15
6R7I_3.pdb,-2506.594,15
6R7I_40.pdb,-2922.32,15
6R7I_41.pdb,-2811.374,18
6R7I_42.pdb,-2809.061,15
6R7I_43.pdb,-2724.422,17
6R7I_44.pdb,-2498.51,18
6R7I_45.pdb,-2245.344,15
6R7I_46.pdb,-2612.171,17
6R7I_47.pdb,-2934.59,14
6R7I_48.pdb,-2482.361,17
6R7I_49.pdb,-2650.999,16
6R7I_4.pdb,-2611.085,17
6R7I_50.pdb,-2692.95,16
6R7I_5.pdb,-2467.691,15
6R7I_6.pdb,-2538.653,14
6R7I_7.pdb,-2343.91,15
6R7I_8.pdb,-2501.158,17
6R7I_9.pdb,-2386.287,16
