structure,HADDOCK-score,atomic-clashes
6AHF_1.pdb,,1
6AHF_12.pdb,,4
6AHF_15.pdb,,3
6AHF_17.pdb,,2
6AHF_18.pdb,,1
6AHF_19.pdb,,2
6AHF_2.pdb,,4
6AHF_20.pdb,,5
6AHF_21.pdb,,0
6AHF_22.pdb,,1
6AHF_23.pdb,,2
6AHF_24.pdb,,7
6AHF_25.pdb,,1
6AHF_26.pdb,,3
6AHF_27.pdb,,1
6AHF_3.pdb,,2
6AHF_30.pdb,,4
6AHF_32.pdb,,2
6AHF_33.pdb,,2
6AHF_34.pdb,,2
6AHF_35.pdb,,3
6AHF_36.pdb,,3
6AHF_37.pdb,,2
6AHF_38.pdb,,2
6AHF_39.pdb,,5
6AHF_4.pdb,,3
6AHF_40.pdb,,3
6AHF_42.pdb,,3
6AHF_45.pdb,,3
6AHF_46.pdb,,3
6AHF_47.pdb,,0
6AHF_48.pdb,,2
6AHF_49.pdb,,4
6AHF_5.pdb,,4
6AHF_50.pdb,,6
6AHF_6.pdb,,4
6AHF_7.pdb,,0
6AHF_8.pdb,,2
6AHF_9.pdb,,1
