structure,HADDOCK-score,atomic-clashes
6IRF_1.pdb,-2154.0071,0
6IRF_10.pdb,-2200.0893,0
6IRF_11.pdb,-1948.6532,0
6IRF_12.pdb,-2029.6061,0
6IRF_13.pdb,-1902.3219,0
6IRF_14.pdb,-2042.3016,1
6IRF_15.pdb,-2432.5822,0
6IRF_16.pdb,-1894.6672,0
6IRF_17.pdb,-1955.7162,0
6IRF_18.pdb,-1956.5117,1
6IRF_19.pdb,-1891.8069,0
6IRF_2.pdb,-2238.2547,0
6IRF_20.pdb,-1908.859,0
6IRF_21.pdb,-1939.2462,0
6IRF_22.pdb,-1848.9308,1
6IRF_23.pdb,-2429.7524,1
6IRF_24.pdb,-2034.4867,0
6IRF_25.pdb,-2238.28,0
6IRF_26.pdb,-2272.7984,0
6IRF_27.pdb,-2237.5778,0
6IRF_28.pdb,-2272.4348,1
6IRF_29.pdb,-2145.6153,0
6IRF_3.pdb,-2612.8942,1
6IRF_30.pdb,-2363.903,0
6IRF_31.pdb,-2027.5293,0
6IRF_32.pdb,-2153.7997,0
6IRF_33.pdb,-2311.0465,1
6IRF_34.pdb,-2059.8662,0
6IRF_35.pdb,-1952.9797,0
6IRF_36.pdb,-2295.1284,0
6IRF_37.pdb,-2342.7741,0
6IRF_38.pdb,-2100.2807,0
6IRF_39.pdb,-1895.8839,0
6IRF_4.pdb,-1886.8405,0
6IRF_40.pdb,-2487.9266,0
6IRF_41.pdb,-2112.1614,0
6IRF_42.pdb,-2091.6777,1
6IRF_43.pdb,-2161.8605,0
6IRF_44.pdb,-2037.9924,0
6IRF_45.pdb,-2051.3614,0
6IRF_46.pdb,-1893.6323,0
6IRF_47.pdb,-2247.93,0
6IRF_48.pdb,-2164.9686,1
6IRF_49.pdb,-2107.0091,0
6IRF_5.pdb,-2431.5975,1
6IRF_50.pdb,-2071.5413,0
6IRF_6.pdb,-2297.5958,0
6IRF_7.pdb,-1907.4564,0
6IRF_8.pdb,-2178.8335,0
6IRF_9.pdb,-2230.6783,0
