structure,HADDOCK-score,atomic-clashes
6N8Z_1.pdb,-6070.09958,21
6N8Z_10.pdb,-6228.0829,10
6N8Z_11.pdb,-5794.1424,16
6N8Z_12.pdb,-5532.34001,14
6N8Z_13.pdb,-5661.32727,16
6N8Z_14.pdb,-5294.89259,12
6N8Z_15.pdb,-5366.4742,9
6N8Z_16.pdb,-5728.07927,12
6N8Z_17.pdb,-5919.1298,15
6N8Z_18.pdb,-5342.22257,13
6N8Z_19.pdb,-6083.207,13
6N8Z_2.pdb,-5484.52957,10
6N8Z_20.pdb,-5606.48914,16
6N8Z_21.pdb,-5356.1297,9
6N8Z_22.pdb,-5744.64201,15
6N8Z_23.pdb,-5656.7746,16
6N8Z_24.pdb,-5633.3509,10
6N8Z_25.pdb,-5620.86825,13
6N8Z_26.pdb,-5372.44286,15
6N8Z_27.pdb,-5414.8005,14
6N8Z_28.pdb,-5730.215,15
6N8Z_29.pdb,-5556.89462,15
6N8Z_3.pdb,-5863.9283,19
6N8Z_30.pdb,-5579.7831,12
6N8Z_31.pdb,-5668.7838,16
6N8Z_32.pdb,-5349.7508,14
6N8Z_33.pdb,-5720.4686,16
6N8Z_34.pdb,-5600.24321,16
6N8Z_35.pdb,-5696.3338,16
6N8Z_36.pdb,-5438.58674,18
6N8Z_37.pdb,-5680.5198,13
6N8Z_38.pdb,-5789.59738,15
6N8Z_39.pdb,-5406.90047,13
6N8Z_4.pdb,-6026.88035,13
6N8Z_40.pdb,-4864.8152,17
6N8Z_41.pdb,-5938.8516,13
6N8Z_42.pdb,-5597.4002,16
6N8Z_43.pdb,-5793.744,12
6N8Z_44.pdb,-5710.7016,16
6N8Z_45.pdb,-5438.526,13
6N8Z_46.pdb,-5905.6693,18
6N8Z_47.pdb,-5431.0398,15
6N8Z_48.pdb,-6090.75673,13
6N8Z_49.pdb,-5758.31717,16
6N8Z_5.pdb,-5856.24039,11
6N8Z_50.pdb,-5966.29388,18
6N8Z_6.pdb,-5683.9195,10
6N8Z_7.pdb,-5487.7626,17
6N8Z_8.pdb,-5488.48065,16
6N8Z_9.pdb,-5998.0352,16
