structure,HADDOCK-score,correlation
6R7I_1.pdb,-3845.2778,0.8845
6R7I_10.pdb,-3548.1442,0.8824
6R7I_11.pdb,-3693.222,0.8828
6R7I_12.pdb,-3781.352,0.8796
6R7I_13.pdb,-3764.4568,0.8797
6R7I_14.pdb,-3567.3699,0.8819
6R7I_15.pdb,-3701.2174,0.8798
6R7I_16.pdb,-3514.7518,0.8784
6R7I_17.pdb,-3719.1848,0.8792
6R7I_18.pdb,-3488.3779,0.8841
6R7I_19.pdb,-3607.9043,0.8807
6R7I_2.pdb,-3608.707,0.8804
6R7I_20.pdb,-3657.2349,0.8837
6R7I_21.pdb,-3674.2753,0.8789
6R7I_22.pdb,-3502.1125,0.8815
6R7I_23.pdb,-3913.703,0.8786
6R7I_24.pdb,-3830.5226,0.8854
6R7I_25.pdb,-3435.8347,0.8796
6R7I_26.pdb,-3611.3166,0.8829
6R7I_27.pdb,-3589.861,0.884
6R7I_28.pdb,-3771.2665,0.8835
6R7I_29.pdb,-3689.0657,0.8821
6R7I_3.pdb,-5176.4273,0.8803
6R7I_30.pdb,-4052.4757,0.8816
6R7I_31.pdb,-3697.092,0.8815
6R7I_32.pdb,-3773.2975,0.8838
6R7I_33.pdb,-5237.0401,0.881
6R7I_34.pdb,-3794.6646,0.8845
6R7I_35.pdb,-3509.4845,0.8809
6R7I_36.pdb,-3663.538,0.8837
6R7I_37.pdb,-3560.379,0.8802
6R7I_38.pdb,-3806.9506,0.8834
6R7I_39.pdb,-3911.3916,0.883
6R7I_4.pdb,-3823.0529,0.8853
6R7I_40.pdb,-3567.986,0.8843
6R7I_41.pdb,-3731.0493,0.8841
6R7I_42.pdb,-3923.4592,0.8851
6R7I_43.pdb,-3508.476,0.8787
6R7I_44.pdb,-3639.6645,0.8834
6R7I_45.pdb,-3656.866,0.8837
6R7I_46.pdb,-3625.882,0.8852
6R7I_47.pdb,-3611.182,0.8844
6R7I_48.pdb,-3767.1227,0.8825
6R7I_49.pdb,-3761.765,0.8845
6R7I_5.pdb,-3478.741,0.8831
6R7I_50.pdb,-3584.5424,0.8808
6R7I_6.pdb,-3646.2391,0.8825
6R7I_7.pdb,-4021.7738,0.8827
6R7I_8.pdb,-3792.1556,0.8802
6R7I_9.pdb,-3668.335,0.8835
