structure,HADDOCK-score,correlation,atomic-clashes
6C3P_10w.pdb,-2110.7814,0.5369,0
6C3P_11w.pdb,-2067.2741,0.5362,2
6C3P_12w.pdb,-2248.6426,0.5288,1
6C3P_13w.pdb,-2176.9204,0.5424,3
6C3P_14w.pdb,-2098.4303,0.5355,1
6C3P_15w.pdb,-2083.9094,0.5405,1
6C3P_16w.pdb,-2207.49585,0.536,0
6C3P_17w.pdb,-2113.286,0.5361,1
6C3P_18w.pdb,-2109.06605,0.5433,1
6C3P_19w.pdb,-2142.83984,0.5321,1
6C3P_1w.pdb,-2174.15155,0.53,0
6C3P_20w.pdb,-2132.1764,0.5315,0
6C3P_21w.pdb,-2077.7286,0.5389,1
6C3P_22w.pdb,-2013.5165,0.538,1
6C3P_23w.pdb,-2176.9204,0.5424,3
6C3P_24w.pdb,-2102.864,0.5352,0
6C3P_25w.pdb,-2181.6431,0.5414,1
6C3P_26w.pdb,-2107.9413,0.5352,1
6C3P_27w.pdb,-2137.0857,0.5353,1
6C3P_28w.pdb,-2255.3548,0.5338,2
6C3P_29w.pdb,-1994.2807,0.5382,1
6C3P_2w.pdb,-2203.2406,0.5396,2
6C3P_30w.pdb,-2246.7874,0.5256,0
6C3P_31w.pdb,-2176.9204,0.5424,3
6C3P_32w.pdb,-2073.0261,0.5294,0
6C3P_33w.pdb,-2277.0165,0.539,3
6C3P_34w.pdb,-2219.6545,0.5362,1
6C3P_35w.pdb,-2227.3578,0.5347,0
6C3P_36w.pdb,-2299.2873,0.5353,0
6C3P_37w.pdb,-2262.1303,0.5348,3
6C3P_38w.pdb,-2168.7808,0.5376,1
6C3P_39w.pdb,-2123.489,0.5352,1
6C3P_3w.pdb,-2147.7058,0.5398,0
6C3P_40w.pdb,-2146.451,0.5384,3
6C3P_41w.pdb,-2177.69406,0.5373,2
6C3P_42w.pdb,-2080.18,0.5417,1
6C3P_43w.pdb,-2000.62185,0.5387,0
6C3P_44w.pdb,-2061.8422,0.5381,2
6C3P_45w.pdb,-2148.869,0.538,1
6C3P_46w.pdb,-2155.1728,0.5327,2
6C3P_47w.pdb,-2173.0016,0.5405,0
6C3P_48w.pdb,-2195.644,0.5345,2
6C3P_49w.pdb,-2237.1228,0.5334,0
6C3P_4w.pdb,-2167.3205,0.5367,1
6C3P_50w.pdb,-2146.86426,0.5349,0
6C3P_5w.pdb,-2204.5894,0.536,1
6C3P_6w.pdb,-2175.7739,0.5357,1
6C3P_7w.pdb,-2197.2059,0.5408,1
6C3P_8w.pdb,-2137.8941,0.5309,0
6C3P_9w.pdb,-1995.3694,0.5311,0
