structure,HADDOCK-score,atomic-clashes
6UBY_1.pdb,-2508.3934,2
6UBY_10.pdb,-2028.4815,0
6UBY_11.pdb,-2167.1598,1
6UBY_12.pdb,-2355.32268,0
6UBY_13.pdb,-2313.4806,1
6UBY_14.pdb,-2256.7368,1
6UBY_15.pdb,-2218.4406,1
6UBY_16.pdb,-2147.5166,2
6UBY_17.pdb,-2321.0978,0
6UBY_18.pdb,-2528.55615,1
6UBY_19.pdb,-2209.5076,0
6UBY_2.pdb,-2250.8553,1
6UBY_20.pdb,-2364.30951,0
6UBY_21.pdb,-2152.0471,0
6UBY_22.pdb,-2217.4205,0
6UBY_23.pdb,-2649.6498,0
6UBY_24.pdb,-2613.2202,2
6UBY_25.pdb,-2297.9248,2
6UBY_26.pdb,-2277.5578,0
6UBY_27.pdb,-2241.43656,1
6UBY_28.pdb,-2155.5462,0
6UBY_29.pdb,-2203.4647,2
6UBY_3.pdb,-2186.7055,0
6UBY_30.pdb,-2537.5313,0
6UBY_31.pdb,-2511.5225,0
6UBY_32.pdb,-2284.737,0
6UBY_33.pdb,-2423.952,0
6UBY_34.pdb,-2402.9959,0
6UBY_35.pdb,-2390.6562,2
6UBY_36.pdb,-2521.9768,0
6UBY_37.pdb,-2344.4038,0
6UBY_38.pdb,-2337.5547,2
6UBY_39.pdb,-2232.3063,0
6UBY_4.pdb,-2154.3636,2
6UBY_40.pdb,-2328.7643,1
6UBY_41.pdb,-2248.8205,3
6UBY_42.pdb,-2410.825,0
6UBY_43.pdb,-2384.4302,4
6UBY_44.pdb,-2032.0999,0
6UBY_45.pdb,-2176.446,0
6UBY_46.pdb,-2414.5568,1
6UBY_47.pdb,-2236.564,1
6UBY_48.pdb,-2469.39102,1
6UBY_49.pdb,-2246.57311,0
6UBY_5.pdb,-2142.6869,1
6UBY_50.pdb,-2469.6142,0
6UBY_6.pdb,-2232.0634,0
6UBY_7.pdb,-2160.1072,0
6UBY_8.pdb,-2346.6493,0
6UBY_9.pdb,-2267.3761,0
