structure,HADDOCK-score,correlation
6N7G_1.pdb,-1983.1063,0.9147
6N7G_10.pdb,-2004.6661,0.9127
6N7G_11.pdb,-1799.5257,0.9158
6N7G_12.pdb,-1743.5223,0.9155
6N7G_13.pdb,-1959.66628,0.9157
6N7G_14.pdb,-1790.254,0.913
6N7G_15.pdb,-2090.32,0.9166
6N7G_16.pdb,-1885.625,0.9138
6N7G_17.pdb,-1974.29901,0.9168
6N7G_18.pdb,-1937.2646,0.9145
6N7G_19.pdb,-1844.27987,0.9129
6N7G_2.pdb,-1979.95563,0.916
6N7G_20.pdb,-2012.3757,0.9162
6N7G_21.pdb,-2012.4403,0.9147
6N7G_22.pdb,-1835.9604,0.9142
6N7G_23.pdb,-2113.1153,0.9139
6N7G_24.pdb,-2166.47946,0.9156
6N7G_25.pdb,-2089.874,0.9165
6N7G_26.pdb,-2037.03573,0.9164
6N7G_27.pdb,-1724.7837,0.9141
6N7G_28.pdb,-2064.6561,0.9158
6N7G_29.pdb,-1791.1077,0.9103
6N7G_3.pdb,-2054.2703,0.9174
6N7G_30.pdb,-1939.64315,0.9158
6N7G_31.pdb,-1998.1569,0.916
6N7G_32.pdb,-1999.289,0.9143
6N7G_33.pdb,-1890.7733,0.9072
6N7G_34.pdb,-2166.7109,0.9167
6N7G_35.pdb,-1920.4944,0.912
6N7G_36.pdb,-2017.5522,0.9169
6N7G_37.pdb,-1974.834,0.9158
6N7G_38.pdb,-1975.4615,0.9158
6N7G_39.pdb,-1979.6073,0.9148
6N7G_4.pdb,-1949.66777,0.9149
6N7G_40.pdb,-1883.2842,0.9157
6N7G_41.pdb,-2030.3331,0.9133
6N7G_42.pdb,-1683.5357,0.9126
6N7G_43.pdb,-2041.30934,0.9174
6N7G_44.pdb,-1718.446,0.913
6N7G_45.pdb,-2078.5178,0.9156
6N7G_46.pdb,-1893.9997,0.9148
6N7G_47.pdb,-1988.5459,0.9164
6N7G_48.pdb,-1838.5728,0.9136
6N7G_49.pdb,-2286.11557,0.9175
6N7G_5.pdb,-1942.981,0.9151
6N7G_50.pdb,-1975.43249,0.9155
6N7G_6.pdb,-1863.82643,0.916
6N7G_7.pdb,-1926.5235,0.9161
6N7G_8.pdb,-2131.73465,0.9179
6N7G_9.pdb,-1965.3359,0.9149
