structure,HADDOCK-score,correlation,atomic-clashes
5HNY_10w.pdb,-359.65485,0.9305,0
5HNY_11w.pdb,-329.717626,0.9311,0
5HNY_12w.pdb,-358.1179,0.9335,1
5HNY_13w.pdb,-332.050681,0.9305,1
5HNY_14w.pdb,-334.70885,0.9313,0
5HNY_15w.pdb,-359.16535,0.9312,0
5HNY_16w.pdb,-352.50407,0.9304,0
5HNY_17w.pdb,-343.70915,0.9308,0
5HNY_18w.pdb,-389.75247,0.9322,2
5HNY_19w.pdb,-326.11189,0.9302,0
5HNY_1w.pdb,-312.67114,0.9307,0
5HNY_20w.pdb,-389.303677,0.9309,2
5HNY_21w.pdb,-366.700952,0.9315,0
5HNY_22w.pdb,-348.09509,0.9305,0
5HNY_23w.pdb,-352.4268,0.9316,0
5HNY_24w.pdb,-339.609603,0.9315,0
5HNY_25w.pdb,-350.88065,0.9299,0
5HNY_26w.pdb,-357.82336,0.9328,1
5HNY_27w.pdb,-361.91223,0.9307,1
5HNY_28w.pdb,-348.99776,0.9308,0
5HNY_29w.pdb,-357.72226,0.9309,0
5HNY_2w.pdb,-439.0927,0.9324,2
5HNY_30w.pdb,-350.865885,0.9341,0
5HNY_31w.pdb,-288.550029,0.9302,0
5HNY_32w.pdb,-412.79047332,0.9319,3
5HNY_33w.pdb,-383.57932,0.931,0
5HNY_34w.pdb,-283.5675,0.9312,0
5HNY_35w.pdb,-345.43489,0.931,0
5HNY_36w.pdb,-365.934462,0.933,1
5HNY_37w.pdb,-374.10667,0.931,1
5HNY_38w.pdb,-408.69889,0.9337,0
5HNY_39w.pdb,-402.777518,0.933,0
5HNY_3w.pdb,-372.63033636,0.9317,2
5HNY_40w.pdb,-334.15352,0.9288,0
5HNY_41w.pdb,-384.275321,0.9304,1
5HNY_42w.pdb,-346.496439,0.9333,0
5HNY_43w.pdb,-352.15655,0.9301,2
5HNY_44w.pdb,-377.110679,0.9334,1
5HNY_45w.pdb,-335.898508,0.9298,0
5HNY_46w.pdb,-327.601427,0.9328,0
5HNY_47w.pdb,-327.219783,0.9328,0
5HNY_48w.pdb,-323.72724,0.9325,0
5HNY_49w.pdb,-392.211957,0.9322,0
5HNY_4w.pdb,-347.908329,0.9329,1
5HNY_50w.pdb,-347.730103,0.9317,0
5HNY_5w.pdb,-321.633294,0.9307,0
5HNY_6w.pdb,-309.3387,0.9319,0
5HNY_7w.pdb,-327.381562,0.9284,1
5HNY_8w.pdb,-336.489627,0.9295,0
5HNY_9w.pdb,-387.83329,0.9295,1
