structure,HADDOCK-score,atomic-clashes
5GRS_1.pdb,-4257.66962,8
5GRS_10.pdb,-4428.8754,5
5GRS_11.pdb,-4472.35172,9
5GRS_12.pdb,-4197.73211,4
5GRS_13.pdb,-4228.88162,4
5GRS_14.pdb,-4375.78352,9
5GRS_15.pdb,-4005.5383,5
5GRS_16.pdb,-4331.92155,5
5GRS_17.pdb,-4247.54579,7
5GRS_18.pdb,-4196.45432,6
5GRS_19.pdb,-4577.07098,6
5GRS_2.pdb,-4435.87786,5
5GRS_20.pdb,-4393.39172,4
5GRS_21.pdb,-4133.67776,3
5GRS_22.pdb,-4198.64146,6
5GRS_23.pdb,-4439.8264,7
5GRS_24.pdb,-4367.95462,6
5GRS_25.pdb,-3994.07042,4
5GRS_26.pdb,-4166.57697,5
5GRS_27.pdb,-4194.44644,6
5GRS_28.pdb,-4084.90704,7
5GRS_29.pdb,-4442.52507,4
5GRS_3.pdb,-4181.61027,5
5GRS_30.pdb,-4041.3692,6
5GRS_31.pdb,-4163.59761,4
5GRS_32.pdb,-4221.20778,8
5GRS_33.pdb,-4466.5563,3
5GRS_34.pdb,-4121.9724,5
5GRS_35.pdb,-4293.87164,6
5GRS_36.pdb,-4056.70643,6
5GRS_37.pdb,-3877.5413,5
5GRS_38.pdb,-4220.5854,6
5GRS_39.pdb,-4191.49802,8
5GRS_4.pdb,-4109.1125,5
5GRS_40.pdb,-4428.52283,7
5GRS_41.pdb,-4412.3486,5
5GRS_42.pdb,-4206.57422,4
5GRS_43.pdb,-4263.19212,5
5GRS_44.pdb,-4474.8965,5
5GRS_45.pdb,-4276.13179,6
5GRS_46.pdb,-4258.90261,6
5GRS_47.pdb,-4077.492,3
5GRS_48.pdb,-4533.5756,5
5GRS_49.pdb,-4081.80699,8
5GRS_5.pdb,-4258.38497,5
5GRS_50.pdb,-4187.03724,5
5GRS_6.pdb,-4528.31866,6
5GRS_7.pdb,-4464.34682,7
5GRS_8.pdb,-4080.61025,6
5GRS_9.pdb,-4411.64911,5
