structure,HADDOCK-score,correlation
6R7I_1.pdb,-3684.202,0.8847
6R7I_10.pdb,-3781.789,0.8859
6R7I_11.pdb,-3925.325,0.8862
6R7I_12.pdb,-3679.057,0.884
6R7I_13.pdb,-3847.313,0.8828
6R7I_14.pdb,-3591.845,0.8873
6R7I_15.pdb,-3725.587,0.8835
6R7I_16.pdb,-3787.133,0.8873
6R7I_17.pdb,-3660.298,0.8851
6R7I_18.pdb,-3738.972,0.8824
6R7I_19.pdb,-3676.079,0.8842
6R7I_2.pdb,-3794.162,0.8887
6R7I_20.pdb,-3776.145,0.8864
6R7I_21.pdb,-3748.604,0.8861
6R7I_22.pdb,-3652.094,0.8886
6R7I_23.pdb,-3760.344,0.8879
6R7I_24.pdb,-3751.649,0.8864
6R7I_25.pdb,-3871.717,0.8855
6R7I_26.pdb,-3519.988,0.8829
6R7I_27.pdb,-3639.478,0.8878
6R7I_28.pdb,-3678.966,0.8861
6R7I_29.pdb,-5189.382,0.8854
6R7I_3.pdb,-3780.001,0.8877
6R7I_30.pdb,-3697.18,0.8882
6R7I_31.pdb,-3915.851,0.8858
6R7I_32.pdb,-3718.064,0.8866
6R7I_33.pdb,-3777.014,0.8844
6R7I_34.pdb,-3555.042,0.8869
6R7I_35.pdb,-3572.4,0.8833
6R7I_36.pdb,-3753.472,0.8854
6R7I_37.pdb,-3562.471,0.8836
6R7I_38.pdb,-3882.208,0.8865
6R7I_39.pdb,-3768.69,0.8842
6R7I_4.pdb,-3970.267,0.8852
6R7I_40.pdb,-3701.758,0.8867
6R7I_41.pdb,-3803.555,0.8851
6R7I_42.pdb,-3729.497,0.8851
6R7I_43.pdb,-3846.124,0.8855
6R7I_44.pdb,-3621.762,0.8855
6R7I_45.pdb,-3710.877,0.8828
6R7I_46.pdb,-3567.776,0.8884
6R7I_47.pdb,-3720.681,0.888
6R7I_48.pdb,-3664.002,0.8859
6R7I_49.pdb,-3833.623,0.8867
6R7I_5.pdb,-3773.129,0.8857
6R7I_50.pdb,-3728.997,0.8837
6R7I_6.pdb,-3696.29,0.8854
6R7I_7.pdb,-3745.361,0.8855
6R7I_8.pdb,-5318.296,0.8882
6R7I_9.pdb,-3721.533,0.8868
