structure,HADDOCK-score,correlation
6N8T_1.pdb,-4552.4961,0.8714
6N8T_10.pdb,-4485.54242,0.8811
6N8T_11.pdb,-5124.8372,0.8753
6N8T_12.pdb,-4485.54242,0.8811
6N8T_13.pdb,-4762.2398,0.8679
6N8T_14.pdb,-4455.0125,0.8705
6N8T_15.pdb,-4633.0621,0.8707
6N8T_16.pdb,-4151.9962,0.8621
6N8T_17.pdb,-4456.1111,0.8704
6N8T_18.pdb,-4467.3979,0.8677
6N8T_19.pdb,-4219.6796,0.8683
6N8T_2.pdb,-4485.54242,0.8811
6N8T_20.pdb,-4713.6374,0.8735
6N8T_21.pdb,-4527.392,0.8714
6N8T_22.pdb,-4188.8645,0.8664
6N8T_23.pdb,-4419.531,0.8684
6N8T_24.pdb,-4528.3082,0.8715
6N8T_25.pdb,-4425.2368,0.8668
6N8T_26.pdb,-4727.3511,0.8696
6N8T_27.pdb,-4399.4806,0.8676
6N8T_28.pdb,-4493.6185,0.8688
6N8T_29.pdb,-4897.2736,0.8692
6N8T_3.pdb,-4264.2199,0.8695
6N8T_30.pdb,-4827.7402,0.8745
6N8T_31.pdb,-4485.54242,0.8811
6N8T_32.pdb,-5044.3514,0.8708
6N8T_33.pdb,-4567.9804,0.8656
6N8T_34.pdb,-4807.7363,0.8731
6N8T_35.pdb,-4913.9181,0.8781
6N8T_36.pdb,-4249.65,0.8702
6N8T_37.pdb,-4241.0893,0.8677
6N8T_38.pdb,-5189.7757,0.8753
6N8T_39.pdb,-4485.54242,0.8811
6N8T_4.pdb,-4155.5705,0.8653
6N8T_40.pdb,-4607.103,0.8712
6N8T_41.pdb,-4722.5229,0.8736
6N8T_42.pdb,-4679.623,0.8738
6N8T_43.pdb,-4237.4038,0.8702
6N8T_44.pdb,-4485.54242,0.8811
6N8T_45.pdb,-4448.6517,0.8651
6N8T_46.pdb,-4995.5734,0.8729
6N8T_47.pdb,-4485.54242,0.8811
6N8T_48.pdb,-4498.3614,0.8713
6N8T_49.pdb,-4352.1654,0.8717
6N8T_5.pdb,-4392.9614,0.8716
6N8T_50.pdb,-4624.5672,0.8685
6N8T_6.pdb,-4620.1388,0.8702
6N8T_7.pdb,-4689.3264,0.8752
6N8T_8.pdb,-4391.7112,0.8735
6N8T_9.pdb,-4486.4135,0.8685
