structure,HADDOCK-score,correlation
3J96_1.pdb,-8332.7516,0.9279
3J96_10.pdb,-8400.3838,0.928
3J96_11.pdb,-8268.5566,0.9269
3J96_12.pdb,-7954.9931,0.9286
3J96_13.pdb,-8199.9186,0.9276
3J96_14.pdb,-8249.0624,0.9275
3J96_15.pdb,-8085.7206,0.9289
3J96_16.pdb,-8211.8941,0.929
3J96_17.pdb,-8061.47042,0.9264
3J96_18.pdb,-7940.2543,0.9262
3J96_19.pdb,-8156.2609,0.9291
3J96_2.pdb,-7977.9379,0.9275
3J96_20.pdb,-8286.1439,0.9275
3J96_21.pdb,-8223.96,0.9269
3J96_22.pdb,-8219.9136,0.9283
3J96_23.pdb,-7968.3212,0.9274
3J96_24.pdb,-8058.8998,0.9274
3J96_25.pdb,-7805.6624,0.9264
3J96_26.pdb,-8241.46872,0.9288
3J96_27.pdb,-7817.7405,0.9275
3J96_28.pdb,-8207.1605,0.9263
3J96_29.pdb,-8357.8185,0.928
3J96_3.pdb,-8303.3069,0.928
3J96_30.pdb,-8486.5321,0.9278
3J96_31.pdb,-8099.8924,0.9289
3J96_32.pdb,-8395.6186,0.9281
3J96_33.pdb,-8249.5141,0.9271
3J96_34.pdb,-7989.3239,0.9274
3J96_35.pdb,-7864.3415,0.9273
3J96_36.pdb,-8321.4237,0.9275
3J96_37.pdb,-7991.0209,0.9282
3J96_38.pdb,-8136.0763,0.9275
3J96_39.pdb,-7880.4435,0.9263
3J96_4.pdb,-8252.2093,0.9279
3J96_40.pdb,-8408.7746,0.9261
3J96_41.pdb,-8455.4889,0.9278
3J96_42.pdb,-8044.9976,0.9275
3J96_43.pdb,-8118.2697,0.9267
3J96_44.pdb,-7891.7947,0.9278
3J96_45.pdb,-8246.61958,0.9267
3J96_46.pdb,-7975.3092,0.9273
3J96_47.pdb,-8144.9275,0.9266
3J96_48.pdb,-8132.2807,0.9279
3J96_49.pdb,-8027.3979,0.9265
3J96_5.pdb,-7885.02208,0.9281
3J96_50.pdb,-8159.915,0.927
3J96_6.pdb,-8235.433,0.9282
3J96_7.pdb,-7979.6367,0.9273
3J96_8.pdb,-7791.6552,0.9272
3J96_9.pdb,-8078.7564,0.9287
