structure,HADDOCK-score,correlation
6ENY_1.pdb,207.48223,0.8836
6ENY_10.pdb,19.464,0.8838
6ENY_11.pdb,-943.1092,0.8232
6ENY_12.pdb,247.0126,0.881
6ENY_13.pdb,258.62155,0.8843
6ENY_14.pdb,172.9907,0.8826
6ENY_15.pdb,218.4813,0.8846
6ENY_16.pdb,190.15817,0.8837
6ENY_17.pdb,-1304.93106,0.8811
6ENY_18.pdb,63.6971,0.8838
6ENY_19.pdb,129.05575,0.8832
6ENY_2.pdb,243.7527,0.8811
6ENY_20.pdb,265.99499,0.8825
6ENY_21.pdb,150.52158,0.8839
6ENY_22.pdb,153.27881,0.8821
6ENY_23.pdb,-1437.28497,0.8835
6ENY_24.pdb,215.17153,0.8834
6ENY_25.pdb,192.3534,0.884
6ENY_26.pdb,162.75451,0.8824
6ENY_27.pdb,165.01942,0.8852
6ENY_28.pdb,140.3685,0.8841
6ENY_29.pdb,178.8116,0.8835
6ENY_3.pdb,311.49771,0.8836
6ENY_30.pdb,63.31119,0.8824
6ENY_31.pdb,157.20737,0.8849
6ENY_32.pdb,241.069,0.8846
6ENY_33.pdb,213.28878,0.8813
6ENY_34.pdb,259.1636,0.8844
6ENY_35.pdb,180.16852,0.8822
6ENY_36.pdb,-1337.69573,0.8838
6ENY_37.pdb,304.2454,0.8812
6ENY_38.pdb,-35.87739,0.8819
6ENY_39.pdb,113.99039,0.8833
6ENY_4.pdb,129.5726,0.8824
6ENY_40.pdb,250.3969,0.8811
6ENY_41.pdb,1264.3443,0.7766
6ENY_42.pdb,199.9798,0.8831
6ENY_43.pdb,77.53972,0.884
6ENY_44.pdb,235.35343,0.8828
6ENY_45.pdb,216.41601,0.8841
6ENY_46.pdb,-1294.6737,0.8813
6ENY_47.pdb,326.6262,0.8814
6ENY_48.pdb,193.73128,0.8842
6ENY_49.pdb,242.3249,0.8835
6ENY_5.pdb,236.0184,0.8824
6ENY_50.pdb,159.28364,0.8829
6ENY_6.pdb,161.24629,0.8827
6ENY_7.pdb,407.9465,0.8355
6ENY_8.pdb,242.30499,0.882
6ENY_9.pdb,1.64424,0.8847
