structure,HADDOCK-score,atomic-clashes
6ACG_1.pdb,-2602.697,5
6ACG_10.pdb,-2681.035,4
6ACG_11.pdb,-2490.701,4
6ACG_12.pdb,-2542.454,3
6ACG_13.pdb,-2247.859,3
6ACG_14.pdb,-2467.655,3
6ACG_15.pdb,-2483.896,7
6ACG_16.pdb,-2495.143,2
6ACG_17.pdb,-2708.295,3
6ACG_18.pdb,-2537.67,1
6ACG_19.pdb,-2651.118,2
6ACG_2.pdb,-2418.426,4
6ACG_20.pdb,-2363.36,4
6ACG_21.pdb,-2523.282,2
6ACG_22.pdb,-2595.976,0
6ACG_23.pdb,-2182.641,5
6ACG_24.pdb,-2290.382,1
6ACG_25.pdb,-2303.996,4
6ACG_26.pdb,-2417.82,5
6ACG_27.pdb,-2370.919,0
6ACG_28.pdb,-2429.161,5
6ACG_29.pdb,-2507.168,2
6ACG_3.pdb,-2482.592,5
6ACG_30.pdb,-2502.621,5
6ACG_31.pdb,-2591.334,5
6ACG_32.pdb,-2550.739,2
6ACG_33.pdb,-2442.442,4
6ACG_34.pdb,-2878.186,1
6ACG_35.pdb,-2437.24,9
6ACG_36.pdb,-2584.866,6
6ACG_37.pdb,-2478.044,2
6ACG_38.pdb,-2510.045,1
6ACG_39.pdb,-2484.346,4
6ACG_4.pdb,-2343.102,4
6ACG_40.pdb,-2404.051,1
6ACG_41.pdb,-2558.388,2
6ACG_42.pdb,-2385.264,4
6ACG_43.pdb,-2623.151,4
6ACG_44.pdb,-2316.113,6
6ACG_45.pdb,-2648.046,3
6ACG_46.pdb,-2425.587,2
6ACG_47.pdb,-2378.579,1
6ACG_48.pdb,-2475.093,3
6ACG_49.pdb,-2589.618,8
6ACG_5.pdb,-2491.667,1
6ACG_50.pdb,-2839.566,6
6ACG_6.pdb,-2512.941,2
6ACG_7.pdb,-2399.278,5
6ACG_8.pdb,-2301.338,2
6ACG_9.pdb,-2683.958,2
