structure,HADDOCK-score,correlation,atomic-clashes
6N8Z_10w.pdb,-1891.0697,0.9286,1
6N8Z_11w.pdb,-2098.4091,0.9299,1
6N8Z_12w.pdb,-2029.1897,0.9295,2
6N8Z_13w.pdb,-2207.30566,0.9303,0
6N8Z_14w.pdb,-1725.2941,0.9292,0
6N8Z_15w.pdb,-1810.9164,0.9238,2
6N8Z_16w.pdb,-1694.0532,0.929,1
6N8Z_17w.pdb,-1918.73469,0.93,0
6N8Z_18w.pdb,-1960.7705,0.9292,0
6N8Z_19w.pdb,-2041.8545,0.9291,4
6N8Z_1w.pdb,-2101.02836,0.9282,1
6N8Z_20w.pdb,-2143.8302,0.9289,1
6N8Z_21w.pdb,-1722.1015,0.9272,0
6N8Z_22w.pdb,-1966.7136,0.9285,1
6N8Z_23w.pdb,-2035.4227,0.9297,0
6N8Z_24w.pdb,-1911.7929,0.9266,1
6N8Z_25w.pdb,-2001.6867,0.9267,2
6N8Z_26w.pdb,-1720.3535,0.9259,1
6N8Z_27w.pdb,-1857.5131,0.928,1
6N8Z_28w.pdb,-1775.7347,0.9298,1
6N8Z_29w.pdb,-1835.3877,0.929,2
6N8Z_2w.pdb,-2124.3281,0.9301,0
6N8Z_30w.pdb,-1978.09842,0.932,6
6N8Z_31w.pdb,-2028.4823,0.9272,0
6N8Z_32w.pdb,-1825.0402,0.9285,0
6N8Z_33w.pdb,-1893.2786,0.927,0
6N8Z_34w.pdb,-1850.0711,0.9252,2
6N8Z_35w.pdb,-2018.3073,0.9284,0
6N8Z_36w.pdb,-1795.5299,0.9271,2
6N8Z_37w.pdb,-1870.131,0.929,1
6N8Z_38w.pdb,-1989.7421,0.9292,1
6N8Z_39w.pdb,-2044.2444,0.9282,0
6N8Z_3w.pdb,-1752.5382,0.9268,0
6N8Z_40w.pdb,-1890.5535,0.9296,0
6N8Z_41w.pdb,-1983.2044,0.9282,0
6N8Z_42w.pdb,-1931.3864,0.9271,1
6N8Z_43w.pdb,-1794.6832,0.9273,0
6N8Z_44w.pdb,-1853.929,0.9267,0
6N8Z_45w.pdb,-1860.0651,0.9272,0
6N8Z_46w.pdb,-1998.9661,0.9277,1
6N8Z_47w.pdb,-2068.4334,0.9289,1
6N8Z_48w.pdb,-1878.8583,0.9302,0
6N8Z_49w.pdb,-1821.2206,0.9278,1
6N8Z_4w.pdb,-1800.7303,0.9286,1
6N8Z_50w.pdb,-2062.1983,0.9298,1
6N8Z_5w.pdb,-1879.54211,0.9286,0
6N8Z_6w.pdb,-1961.1453,0.9298,1
6N8Z_7w.pdb,-1839.567,0.9285,0
6N8Z_8w.pdb,-2177.3623,0.9305,1
6N8Z_9w.pdb,-1679.4627,0.9252,0
