structure,HADDOCK-score,correlation,atomic-clashes
6C3P_10w.pdb,-2269.4331,0.5338,0
6C3P_11w.pdb,-2277.358,0.5361,1
6C3P_12w.pdb,-2264.0951,0.5337,0
6C3P_13w.pdb,-2251.7059,0.5365,0
6C3P_14w.pdb,-2207.99456,0.5335,0
6C3P_15w.pdb,-2268.52,0.5334,3
6C3P_16w.pdb,-2301.5102,0.5352,1
6C3P_17w.pdb,-2231.1024,0.5399,0
6C3P_18w.pdb,-2253.3339,0.5362,0
6C3P_19w.pdb,-2325.4838,0.5386,2
6C3P_1w.pdb,-2169.1948,0.5333,0
6C3P_20w.pdb,-2273.0546,0.5399,1
6C3P_21w.pdb,-2212.6968,0.5359,0
6C3P_22w.pdb,-2270.3891,0.5412,1
6C3P_23w.pdb,-2353.1978,0.535,0
6C3P_24w.pdb,-2304.2377,0.5361,1
6C3P_25w.pdb,-2207.7537,0.5367,0
6C3P_26w.pdb,-2180.82659,0.5362,0
6C3P_27w.pdb,-2150.5577,0.5273,1
6C3P_28w.pdb,-2316.1142,0.5321,1
6C3P_29w.pdb,-2257.5774,0.5384,0
6C3P_2w.pdb,-2195.7907,0.5388,0
6C3P_30w.pdb,-2371.2898,0.5354,1
6C3P_31w.pdb,-2270.3312,0.5321,1
6C3P_32w.pdb,-2305.9055,0.5379,1
6C3P_33w.pdb,-2334.3795,0.5345,2
6C3P_34w.pdb,-2282.3739,0.5338,0
6C3P_35w.pdb,-2314.1057,0.5348,1
6C3P_36w.pdb,-2253.8157,0.535,1
6C3P_37w.pdb,-2333.535,0.5319,1
6C3P_38w.pdb,-2256.9265,0.5388,0
6C3P_39w.pdb,-2213.5342,0.5365,1
6C3P_3w.pdb,-2318.2867,0.5355,0
6C3P_40w.pdb,-2281.666,0.5386,2
6C3P_41w.pdb,-2353.5708,0.5337,0
6C3P_42w.pdb,-2299.2582,0.535,1
6C3P_43w.pdb,-2222.136,0.5386,0
6C3P_44w.pdb,-2235.7998,0.536,0
6C3P_45w.pdb,-2331.9825,0.5352,0
6C3P_46w.pdb,-2283.9593,0.5378,1
6C3P_47w.pdb,-2219.6519,0.5314,0
6C3P_48w.pdb,-2211.4604,0.5376,0
6C3P_49w.pdb,-2318.7185,0.5371,0
6C3P_4w.pdb,-2262.0992,0.5391,0
6C3P_50w.pdb,-2235.0691,0.5355,1
6C3P_5w.pdb,-2308.3504,0.5396,0
6C3P_6w.pdb,-2262.7243,0.5397,2
6C3P_7w.pdb,-2383.145,0.5389,0
6C3P_8w.pdb,-2320.3299,0.5318,0
6C3P_9w.pdb,-2212.7905,0.5355,1
