structure,HADDOCK-score,atomic-clashes
5HNY_1.pdb,-616.70214,0
5HNY_10.pdb,-557.92467,0
5HNY_11.pdb,-656.17376,0
5HNY_12.pdb,-724.74191,0
5HNY_13.pdb,-783.1408,0
5HNY_14.pdb,-736.1789,0
5HNY_15.pdb,-706.41316,0
5HNY_16.pdb,-738.156,1
5HNY_17.pdb,-608.450413,1
5HNY_18.pdb,-727.232383,0
5HNY_19.pdb,-669.57521,0
5HNY_2.pdb,-591.80525,0
5HNY_20.pdb,-692.69086,0
5HNY_21.pdb,-662.26434,0
5HNY_22.pdb,-663.8033,0
5HNY_23.pdb,-586.88971,0
5HNY_24.pdb,-709.51153,0
5HNY_25.pdb,-647.1123,0
5HNY_26.pdb,-605.83616,0
5HNY_27.pdb,-800.03633,0
5HNY_28.pdb,-620.89424,0
5HNY_29.pdb,-686.3258,0
5HNY_3.pdb,-648.912854,0
5HNY_30.pdb,-745.84157,0
5HNY_31.pdb,-700.17708,0
5HNY_32.pdb,-776.43845,0
5HNY_33.pdb,-794.83037,0
5HNY_34.pdb,-769.42319,0
5HNY_35.pdb,-247.48684,1
5HNY_36.pdb,-676.04658,0
5HNY_37.pdb,-653.09275,0
5HNY_38.pdb,-830.45279,0
5HNY_39.pdb,-811.31564,0
5HNY_4.pdb,-747.89906,0
5HNY_40.pdb,-733.44929,0
5HNY_41.pdb,1030.04663,0
5HNY_42.pdb,-593.38408,0
5HNY_43.pdb,-560.30593,0
5HNY_44.pdb,-770.72834,0
5HNY_45.pdb,-682.19342,0
5HNY_46.pdb,-609.1784,0
5HNY_47.pdb,-784.77216,0
5HNY_48.pdb,-668.64242,0
5HNY_49.pdb,-736.06255,0
5HNY_5.pdb,-651.51613,0
5HNY_50.pdb,-809.76688,1
5HNY_6.pdb,-608.30348,1
5HNY_7.pdb,-768.36556,0
5HNY_8.pdb,-745.887556,0
5HNY_9.pdb,-754.33073,0
