structure,HADDOCK-score,correlation,atomic-clashes
6N1Q_10w.pdb,5802.59385,0.888,43
6N1Q_11w.pdb,5652.24846,0.8824,44
6N1Q_12w.pdb,2337.94326,0.8901,22
6N1Q_13w.pdb,5768.14945,0.8856,44
6N1Q_14w.pdb,3982.3827,0.8871,33
6N1Q_15w.pdb,5645.60728,0.8909,43
6N1Q_16w.pdb,5768.50371,0.8787,43
6N1Q_17w.pdb,5608.84002,0.8859,45
6N1Q_18w.pdb,4022.7396,0.8894,33
6N1Q_19w.pdb,5610.17835,0.8862,42
6N1Q_1w.pdb,2374.6944,0.8921,22
6N1Q_20w.pdb,5682.00468,0.8876,42
6N1Q_21w.pdb,2375.4063,0.8913,21
6N1Q_22w.pdb,5608.2291,0.8951,43
6N1Q_23w.pdb,5699.29576,0.8952,44
6N1Q_24w.pdb,5732.97953,0.891,42
6N1Q_25w.pdb,4095.91995,0.8905,33
6N1Q_26w.pdb,3990.24663,0.8918,32
6N1Q_27w.pdb,4136.27404,0.8915,32
6N1Q_28w.pdb,2320.52987,0.8895,22
6N1Q_29w.pdb,5821.17481,0.8872,43
6N1Q_2w.pdb,5779.953,0.8893,42
6N1Q_30w.pdb,5792.10587,0.8895,44
6N1Q_31w.pdb,5721.89477,0.8782,45
6N1Q_32w.pdb,2322.66852,0.8888,22
6N1Q_33w.pdb,3939.2602,0.8919,35
6N1Q_34w.pdb,5738.8198,0.8898,44
6N1Q_35w.pdb,5746.4923,0.8963,44
6N1Q_36w.pdb,3972.8028,0.884,32
6N1Q_37w.pdb,5800.26304,0.8903,44
6N1Q_38w.pdb,5627.58152,0.8892,41
6N1Q_39w.pdb,4081.689,0.8832,33
6N1Q_3w.pdb,5820.52448,0.8923,42
6N1Q_40w.pdb,5813.10636,0.889,44
6N1Q_41w.pdb,4025.4492,0.8897,33
6N1Q_42w.pdb,4011.75262,0.8898,33
6N1Q_43w.pdb,5770.84557,0.8869,45
6N1Q_44w.pdb,5688.68975,0.8956,44
6N1Q_45w.pdb,5793.9008,0.8705,43
6N1Q_46w.pdb,552.9353,0.8875,12
6N1Q_47w.pdb,5699.27524,0.9046,44
6N1Q_48w.pdb,5757.66389,0.8901,45
6N1Q_49w.pdb,5819.9615,0.8881,42
6N1Q_4w.pdb,5724.56069,0.8829,44
6N1Q_50w.pdb,2339.8292,0.8915,22
6N1Q_5w.pdb,5744.33726,0.891,45
6N1Q_6w.pdb,4047.716,0.8854,33
6N1Q_7w.pdb,5631.337151,0.9049,44
6N1Q_8w.pdb,5655.03052,0.8943,42
6N1Q_9w.pdb,4029.8965,0.8824,33
